time_s,ego_s_m,ego_d_m,ego_speed_mps,planner_mode,decision,target_d_m,target_speed_mps,lane_change_duration_s,feasible_candidates,selected_cost,predicted_min_clearance,collision_avoidable
0.0,0.0,0.0,10.0,normal,slow_or_follow,0.0,6.0,4.0,4,3.9142056488851256,2.8003138915549033,True
1.0,9.885546965948805,-0.0008772097661620331,9.5891658526307,normal,lane_change_left,3.5,10.0,4.0,8,2.280016822292051,2.155068314250049,True
2.0,19.468475147225707,0.3587839515151786,9.70234538699879,normal,lane_change_left,3.5,10.0,3.0,3,1.9803466318596072,2.5141855238992643,True
3.0,29.15227625672658,1.0123509975310532,9.928074143731124,normal,lane_change_left,3.5,10.0,2.0,3,4.680606712646949,2.6122010353309273,True
4.0,39.037823222675385,2.2441858528851935,10.02561937827492,normal,lane_change_left,3.5,10.0,1.0,3,17.439329406143234,2.800308435118606,True
5.0,49.125116045072126,3.5198729257782504,9.605400677113407,normal,keep_lane,3.5,10.0,4.0,8,1.5859161366812886,2.8133321732500733,True
6.0,59.01066301102093,3.501868427555692,9.176937689268497,normal,return_right,0.0,10.0,4.0,11,1.3159506849931135,2.3846185702834646,True
7.0,68.29097240762593,3.1201261924068406,9.1681888311174,normal,return_right,0.0,10.0,3.0,3,1.9244934027423284,2.6472895363676248,True
8.0,77.57128180423094,2.459586131185234,9.590771030237766,normal,return_right,0.0,10.0,2.0,3,4.553043982059295,2.7551795449405927,True
9.0,87.05333705728387,1.2366317421274617,10.15707879288063,normal,return_right,0.0,10.0,1.0,3,16.84951795192009,3.1673555598750935,True
